,id,isResult,h,a,goals,xG,forecast,year
68,2657,True,"{'id': '184', 'title': 'FC Ufa', 'short_title': 'UFA'}","{'id': '195', 'title': 'Amkar', 'short_title': 'AMK'}","{'h': '1', 'a': '1'}","{'h': '1.22181', 'a': '0.619544'}","{'w': '0.5485', 'd': '0.3189', 'l': '0.1326'}",2016
69,2658,True,"{'id': '189', 'title': 'Zenit St. Petersburg', 'short_title': 'ZEN'}","{'id': '183', 'title': 'Spartak Moscow', 'short_title': 'SPA'}","{'h': '4', 'a': '2'}","{'h': '3.22068', 'a': '1.27448'}","{'w': '0.8512', 'd': '0.1063', 'l': '0.0425'}",2016
70,2659,True,"{'id': '187', 'title': 'FC Rostov', 'short_title': 'ROS'}","{'id': '185', 'title': 'CSKA Moscow', 'short_title': 'CSK'}","{'h': '2', 'a': '0'}","{'h': '0.689836', 'a': '0.491128'}","{'w': '0.3554', 'd': '0.4225', 'l': '0.2221'}",2016
71,2660,True,"{'id': '196', 'title': 'FC Krasnodar', 'short_title': 'KRA'}","{'id': '186', 'title': 'Rubin Kazan', 'short_title': 'RUB'}","{'h': '1', 'a': '0'}","{'h': '0.413244', 'a': '0.207567'}","{'w': '0.3004', 'd': '0.5762', 'l': '0.1234'}",2016
72,2661,True,"{'id': '185', 'title': 'CSKA Moscow', 'short_title': 'CSK'}","{'id': '184', 'title': 'FC Ufa', 'short_title': 'UFA'}","{'h': '1', 'a': '0'}","{'h': '0.370245', 'a': '0.253855'}","{'w': '0.2515', 'd': '0.5762', 'l': '0.1723'}",2016
73,2662,True,"{'id': '195', 'title': 'Amkar', 'short_title': 'AMK'}","{'id': '192', 'title': 'Lokomotiv Moscow', 'short_title': 'LOK'}","{'h': '0', 'a': '0'}","{'h': '0.572211', 'a': '0.148185'}","{'w': '0.3946', 'd': '0.523', 'l': '0.0824'}",2016
74,2663,True,"{'id': '186', 'title': 'Rubin Kazan', 'short_title': 'RUB'}","{'id': '194', 'title': 'Krylya Sovetov Samara', 'short_title': 'KSS'}","{'h': '3', 'a': '0'}","{'h': '2.11246', 'a': '1.40501'}","{'w': '0.5646', 'd': '0.2277', 'l': '0.2077'}",2016
75,2664,True,"{'id': '183', 'title': 'Spartak Moscow', 'short_title': 'SPA'}","{'id': '187', 'title': 'FC Rostov', 'short_title': 'ROS'}","{'h': '1', 'a': '0'}","{'h': '1.1701', 'a': '0.885809'}","{'w': '0.4127', 'd': '0.3151', 'l': '0.2722'}",2016
76,2665,True,"{'id': '198', 'title': 'Ural', 'short_title': 'URA'}","{'id': '189', 'title': 'Zenit St. Petersburg', 'short_title': 'ZEN'}","{'h': '0', 'a': '2'}","{'h': '0.369649', 'a': '2.00517'}","{'w': '0.0373', 'd': '0.1312', 'l': '0.8315'}",2016
77,2666,True,"{'id': '199', 'title': 'FC Orenburg', 'short_title': 'ORE'}","{'id': '201', 'title': 'Tom Tomsk', 'short_title': 'TOM'}","{'h': '3', 'a': '1'}","{'h': '2.57427', 'a': '1.35381'}","{'w': '0.6826', 'd': '0.1953', 'l': '0.1221'}",2016
78,2667,True,"{'id': '200', 'title': 'Arsenal Tula', 'short_title': 'ARS'}","{'id': '196', 'title': 'FC Krasnodar', 'short_title': 'KRA'}","{'h': '0', 'a': '0'}","{'h': '0.4008', 'a': '0.990291'}","{'w': '0.1423', 'd': '0.3528', 'l': '0.5049'}",2016
79,2668,True,"{'id': '193', 'title': 'Anzhi Makhachkala', 'short_title': 'ANZ'}","{'id': '188', 'title': 'FK Akhmat', 'short_title': 'AKH'}","{'h': '0', 'a': '0'}","{'h': '0.649103', 'a': '1.26264'}","{'w': '0.1483', 'd': '0.2798', 'l': '0.5719'}",2016
80,2669,True,"{'id': '194', 'title': 'Krylya Sovetov Samara', 'short_title': 'KSS'}","{'id': '200', 'title': 'Arsenal Tula', 'short_title': 'ARS'}","{'h': '1', 'a': '1'}","{'h': '1.42806', 'a': '1.54396'}","{'w': '0.2971', 'd': '0.3276', 'l': '0.3753'}",2016
81,2670,True,"{'id': '201', 'title': 'Tom Tomsk', 'short_title': 'TOM'}","{'id': '193', 'title': 'Anzhi Makhachkala', 'short_title': 'ANZ'}","{'h': '0', 'a': '3'}","{'h': '0.759527', 'a': '0.896404'}","{'w': '0.2824', 'd': '0.3432', 'l': '0.3744'}",2016
